Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2020;MARGUERITE ST;35TH AV / ROXBURGH CRESCENT;33RD AV;225;FAIR;"{""coordinates"": [[-123.1441872125488, 49.23991834817515], [-123.1441171563542, 49.241941750072534]], ""type"": ""LineString""}";49.24093004912385, -123.1441521844515
2020;GRAVELEY ST;VICTORIA DRIVE;SEMLIN DRIVE;138;FAIR;"{""coordinates"": [[-123.06573330056511, 49.27047384922996], [-123.06390324132849, 49.27045957592842], [-123.06386961619306, 49.270468276681264], [-123.06384698489578, 49.27048182065892]], ""type"": ""LineString""}";49.27046677766187, -123.06478777000879
2020;MACKENZIE ST;14TH AV;13TH AV;101;POOR;"{""coordinates"": [[-123.17027299305525, 49.25959400584387], [-123.17027287761063, 49.259597202014184], [-123.17025651200004, 49.260049513660896], [-123.17024017403438, 49.260501555372436], [-123.17024014763243, 49.26050227053087]], ""type"": ""LineString""}";49.260048138038904, -123.17025656623547
2020;CYPRESS ST;47TH AV;45TH AV;207;NO DATA;"{""coordinates"": [[-123.14943785720108, 49.228901016158204], [-123.14936504314548, 49.23076241963639]], ""type"": ""LineString""}";49.2298317178973, -123.14940145017329
2020;HOMER ST;PENDER ST;HASTINGS ST;102;POOR;"{""coordinates"": [[-123.11191456224778, 49.28276058681076], [-123.11191388127183, 49.28276103812863], [-123.11143449624451, 49.28307831332127], [-123.11093305317243, 49.283409317230884], [-123.11092796493334, 49.28341268631111]], ""type"": ""LineString""}";49.28308678203225, -123.1114213597425
2020;DUNBAR ST;32ND AV;31ST AV;106;GOOD;"{""coordinates"": [[-123.1852510461261, 49.24332208185901], [-123.18523924413347, 49.244273338586346], [-123.18523922354508, 49.244275547850506]], ""type"": ""LineString""}";49.2437988148178, -123.18524513143326
2020;KAMLOOPS ST;GRANT ST;KITCHENER ST;104;GOOD;"{""coordinates"": [[-123.05468793778536, 49.27136229425751], [-123.05468420254576, 49.272296079652875], [-123.0546841577, 49.27229779325794]], ""type"": ""LineString""}";49.271830044043696, -123.0546860667023
2020;KASLO ST;TRIUMPH ST;DUNDAS ST;100;FAIR;"{""coordinates"": [[-123.04670029236316, 49.28387937810437], [-123.04669912762951, 49.28432775372119], [-123.04669844950463, 49.284778892422935]], ""type"": ""LineString""}";49.28432913501131, -123.046699247867
2020;GARDEN DR;19TH AV;18TH AV;162;GOOD;"{""coordinates"": [[-123.05859311994323, 49.2520567467753], [-123.05830966504806, 49.25249210601443], [-123.05828279533844, 49.25253337075984], [-123.05827826474139, 49.25347188402981], [-123.0582782613241, 49.25347248311321]], ""type"": ""LineString""}";49.25273592982348, -123.05833990884531
2020;KASLO ST;25TH AV;24TH AV;99;FAIR;"{""coordinates"": [[-123.04707521782125, 49.247920471844324], [-123.04707521883381, 49.247921536879], [-123.04707656202821, 49.24836746308347], [-123.04707746053546, 49.248811002101256]], ""type"": ""LineString""}";49.248365736698396, -123.04707644787939
2020;CORNWALL AV;WALNUT ST;CYPRESS ST;86;VERY POOR;"{""coordinates"": [[-123.14898237392323, 49.27248213490002], [-123.14839558917856, 49.27247257790564], [-123.1478027360714, 49.27246281070886], [-123.14780048831331, 49.27246277400526]], ""type"": ""LineString""}";49.27247248203213, -123.14839143066649
2020;GLEN DR;21ST AV;20TH AV;100;FAIR;"{""coordinates"": [[-123.081842804144, 49.25178466657728], [-123.08182537625463, 49.2522346082926], [-123.08181811504569, 49.252419894333784], [-123.08180788238596, 49.25268389516452]], ""type"": ""LineString""}";49.25223428130523, -123.08182535442614
2020;GREAT NORTHERN WAY;2ND AV;THORNTON ST;79;GOOD;"{""coordinates"": [[-123.09620025307986, 49.26687820501934], [-123.0958953559984, 49.26683533368251], [-123.09559800964504, 49.26681227621823], [-123.09559074503915, 49.26681222286029], [-123.09512343367057, 49.26680879456604]], ""type"": ""LineString""}";49.26682736924747, -123.09566298103778
2020;MACKENZIE ST;38TH AV;37TH AV;106;POOR;"{""coordinates"": [[-123.17027650256841, 49.237569180656116], [-123.17027230963738, 49.238044651458466], [-123.170268133235, 49.2385181567351], [-123.17026809376108, 49.23852265891528]], ""type"": ""LineString""}";49.23804591978645, -123.17027229824969
2020;INVERNESS ST;64TH AV;63RD AV;99;GOOD;"{""coordinates"": [[-123.07988352459316, 49.21196721999577], [-123.07987450605303, 49.212408376620225], [-123.07986624438517, 49.212854089697856], [-123.07986633118455, 49.21285768325396]], ""type"": ""LineString""}";49.21241244770418, -123.07987463931285
2020;MAPLE ST;19TH AV;18TH AV;102;POOR;"{""coordinates"": [[-123.1508766856209, 49.25446322234934], [-123.15085934416165, 49.25492261660135], [-123.15084252126496, 49.25538046565746]], ""type"": ""LineString""}";49.25492183971667, -123.15085948835035
2020;FRANKLIN ST;SEMLIN DRIVE;LAKEWOOD DRIVE;136;GOOD;"{""coordinates"": [[-123.06354465899214, 49.282149167262894], [-123.06351419765598, 49.282129825493], [-123.06348791581286, 49.282119766238914], [-123.06345982794124, 49.282112379537885], [-123.06169480692505, 49.28210480076225], [-123.06169307995637, 49.28210480168428]], ""type"": ""LineString""}";49.28210954820917, -123.06262294208625
2020;LANARK ST;47TH AV;45TH AV;150;FAIR;"{""coordinates"": [[-123.07583018667174, 49.2276424529262], [-123.07583009337243, 49.22764520823593], [-123.075783660776, 49.22899139916836]], ""type"": ""LineString""}";49.22831692607685, -123.07580692458927
2020;KITCHENER ST;ODLUM DRIVE;MCLEAN DRIVE;106;VERY POOR;"{""coordinates"": [[-123.07593469600995, 49.272212165305945], [-123.07448204842741, 49.27219143601368], [-123.07447795507863, 49.272190861160915]], ""type"": ""LineString""}";49.27220177043836, -123.07520630572714
2020;HEMLOCK ST;8TH AV;7TH AV;93;VERY GOOD;"{""coordinates"": [[-123.1360632742413, 49.26447202225538], [-123.13603182842658, 49.26530791805774], [-123.1360318130354, 49.265308319262]], ""type"": ""LineString""}";49.26489017076433, -123.13604754378714
2020;GLEN DR;14TH AV;13TH AV;100;VERY GOOD;"{""coordinates"": [[-123.08146170546154, 49.25784787080274], [-123.08145313825865, 49.25828309226809], [-123.08144326079483, 49.25874731428954]], ""type"": ""LineString""}";49.25829759620843, -123.0814526619415
2020;ELLIOTT ST;54TH AV;53RD AV;105;VERY GOOD;"{""coordinates"": [[-123.0549124144296, 49.22021884613276], [-123.05491218309254, 49.22021951729005], [-123.05488097821383, 49.22035688092963], [-123.05487668728512, 49.22070214578461], [-123.05486102157468, 49.22116169733927]], ""type"": ""LineString""}";49.22068882963071, -123.05487665205523
2020;ELM ST;33RD AV;31ST AV;215;POOR;"{""coordinates"": [[-123.16407295820073, 49.242271300619976], [-123.16405424218026, 49.242768639053786], [-123.16402810473222, 49.24348272470694], [-123.16402799153458, 49.243493762027875], [-123.1640282124668, 49.24351898436872], [-123.16402912032206, 49.24354419763844], [-123.16403068761753, 49.243569400077], [-123.16403292803658, 49.243594574573955], [-123.16403584158022, 49.243619721129285], [-123.16403942959654, 49.243644831645334], [-123.16404367556402, 49.243669895351175], [-123.16404859459954, 49.2436949131248], [-123.1640515076862, 49.24370747533885], [-123.1640571875933, 49.243729919392784], [-123.16406345807614, 49.243752299641], [-123.16407033422162, 49.243774607966245], [-123.16407779947812, 49.243796824602406], [-123.16408585525308, 49.24381895944212], [-123.1640945014876, 49.24384099449487], [-123.16410373821225, 49.24386293875571], [-123.16411355159927, 49.24388476525847], [-123.16412394302323, 49.243906474000994], [-123.16413490973696, 49.243928064987045], [-123.16414646679759, 49.243949521104135], [-123.16415857301224, 49.2439708496068], [-123.16417125580313, 49.24399203336492], [-123.16418451654478, 49.244013072376404], [-123.16419831121299, 49.24403394871311], [-123.16421266869023, 49.244054671329046], [-123.1642275889175, 49.244075222233626], [-123.16424304441699, 49.24409560146565], [-123.16425903656314, 49.24411580902298], [-123.16427556251911, 49.24413581792373], [-123.16429263745806, 49.24415564613657], [-123.16430720689416, 49.24417190410152]], ""type"": ""LineString""}";49.24325067764021, -123.16407833701984
2020;MAIN ST;59TH AV;58TH AV;97;POOR;"{""coordinates"": [[-123.1019583375007, 49.216749510346645], [-123.10195822743394, 49.216752076796936], [-123.10192566993922, 49.21761697186734], [-123.10192549307094, 49.21762177909985]], ""type"": ""LineString""}";49.21718564437791, -123.10194190655542
2020;DUNBAR ST;3RD AV;2ND AV;99;VERY POOR;"{""coordinates"": [[-123.18359659122747, 49.26948550931024], [-123.18357947850481, 49.26993007933204], [-123.18356358483824, 49.27037577088061]], ""type"": ""LineString""}";49.26993062842642, -123.18357977330635
2020;FRASER ST;26TH AV;KING EDWARD AV;114;VERY GOOD;"{""coordinates"": [[-123.09016059990942, 49.247618076230275], [-123.09016054965595, 49.24761990679887], [-123.09015711641348, 49.24864264908872], [-123.09015708366097, 49.2486435270486]], ""type"": ""LineString""}";49.24813080160299, -123.09015883466033
2020;DRAKE ST;GRANVILLE ST;SEYMOUR ST;102;POOR;"{""coordinates"": [[-123.12779361481412, 49.27609616602858], [-123.12779209585912, 49.27609518273549], [-123.1272857910151, 49.275767257114865], [-123.12728555140009, 49.27576710176208], [-123.1268012520493, 49.27545340893127], [-123.12679704507762, 49.275450684407694]], ""type"": ""LineString""}";49.27577342883506, -123.12729532760319
2020;GALIANO RD;QUESNEL DRIVE;PUGET DRIVE;139;VERY POOR;"{""coordinates"": [[-123.1768027322864, 49.25469565406498], [-123.17665920256512, 49.254689164081285], [-123.17658301531388, 49.2546777783577], [-123.17651560656807, 49.254664462290094], [-123.17643947823348, 49.254643368736104], [-123.17603416862298, 49.254511109544744], [-123.17556185884072, 49.254368733084064], [-123.17542674718575, 49.254324223954214], [-123.17530662576961, 49.254278601700435], [-123.17517312994298, 49.25421991154872], [-123.17507573403185, 49.25418474032904]], ""type"": ""LineString""}";49.25447469402009, -123.17593078005973
2020;ETON ST;KASLO ST;RENFREW ST;190;GOOD;"{""coordinates"": [[-123.04668199407352, 49.28771799758869], [-123.04406932016202, 49.287705540660845]], ""type"": ""LineString""}";49.287711769124776, -123.04537565711777
2020;LANARK ST;54TH AV;53RD AV;150;FAIR;"{""coordinates"": [[-123.07610012717304, 49.22043043629465], [-123.07604627606852, 49.221779267727044]], ""type"": ""LineString""}";49.221104852010846, -123.07607320162077
2020;CORDOVA ST;CAMBIE ST;ABBOTT ST;184;POOR;"{""coordinates"": [[-123.10911598830018, 49.28351668399815], [-123.1090003444446, 49.28343828415401], [-123.10889017549366, 49.28337702563697], [-123.10881071636312, 49.28333579914026], [-123.10873307556378, 49.283301650080595], [-123.10866989286511, 49.283279289042596], [-123.10858101243838, 49.283258063923796], [-123.1067921283818, 49.282930942971234]], ""type"": ""LineString""}";49.28316255971351, -123.10797632618215
2020;MACKENZIE ST;22ND AV;21ST AV;100;VERY GOOD;"{""coordinates"": [[-123.17013078370448, 49.252804744767786], [-123.17012591123085, 49.25325509253919], [-123.17012105518671, 49.25370424568502]], ""type"": ""LineString""}";49.25325449521692, -123.17012591856843
2020;EDGAR CRES;MCBAIN AV;HAGGART ST;311;FAIR;"{""coordinates"": [[-123.16444478700944, 49.247067509108554], [-123.1644368167223, 49.246972026137826], [-123.16441193905466, 49.24687064026666], [-123.16437100830741, 49.246771498152754], [-123.16431447891622, 49.246675707345865], [-123.16426585323755, 49.246613556449105], [-123.1642429617188, 49.24658430950271], [-123.16415725428, 49.24649831092887], [-123.16405826794521, 49.24641864580342], [-123.16394710618478, 49.24634618506449], [-123.16382499174512, 49.24628172841883], [-123.163693261111, 49.24622599175821], [-123.16359108986278, 49.24619208950923], [-123.16314491696718, 49.24605511310437], [-123.16310911326484, 49.24604323597528], [-123.16287084755915, 49.24598374570305], [-123.1626243931957, 49.24594088066812], [-123.16237243077215, 49.24591512279376], [-123.16211775006815, 49.24590673798642], [-123.16186312798581, 49.2459158401751], [-123.16178406797566, 49.24592415457114], [-123.1610779994751, 49.24598765536499]], ""type"": ""LineString""}";49.24617237830867, -123.16294343019706
2020;LAKEWOOD DR;8TH AV;7TH AV;101;GOOD;"{""coordinates"": [[-123.0620081824932, 49.263210161095984], [-123.06200816701984, 49.26321097517033], [-123.06199893276347, 49.2636635180824], [-123.0619925172002, 49.26411590742682], [-123.0619924614952, 49.264118619510604]], ""type"": ""LineString""}";49.26366437824535, -123.06199962461741
2020;HEATHER ST;22ND AV;21ST AV;100;VERY POOR;"{""coordinates"": [[-123.12028160852671, 49.251587287072816], [-123.1202489379847, 49.25248655750545]], ""type"": ""LineString""}";49.252036922289136, -123.12026527325571
2020;MANITOBA ST;48TH AV;47TH AV;101;GOOD;"{""coordinates"": [[-123.10837738078403, 49.226784602007776], [-123.10837727964469, 49.22678734026092], [-123.1083598941152, 49.22723930288738], [-123.10834217658231, 49.22769095095278], [-123.10834210514271, 49.22769282653196]], ""type"": ""LineString""}";49.22723871766246, -123.10835983035037
2020;FRASER ST;17TH AV;16TH AV;100;POOR;"{""coordinates"": [[-123.08989783874193, 49.25553177277793], [-123.08987649566018, 49.25611771536359], [-123.08986513642763, 49.25642902616519], [-123.08986505901244, 49.25643104565154]], ""type"": ""LineString""}";49.25598140951905, -123.08988145717579
2020;MACKENZIE ST;32ND AV;31ST AV;105;POOR;"{""coordinates"": [[-123.17022628394679, 49.2432630689563], [-123.17022209540906, 49.24373725925658], [-123.17021795246538, 49.2442075464158]], ""type"": ""LineString""}";49.24373530766144, -123.17022211541544
2020;DUNSMUIR ST 1;NORTHWEST END;EXPO BOULEVARD;141;GOOD;"{""coordinates"": [[-123.11007005719856, 49.27956686447324], [-123.10869237799803, 49.27867454855567]], ""type"": ""LineString""}";49.279120706514455, -123.10938121759828
2020;MAPLE ST;13TH AV;12TH AV;104;GOOD;"{""coordinates"": [[-123.15067012858155, 49.26002961061197], [-123.1506529051779, 49.26048612666443], [-123.15063529133842, 49.260964834376075]], ""type"": ""LineString""}";49.26049721843625, -123.15065260105932
2020;JOYCE ST;KINGSWAY;CHURCH ST;86;POOR;"{""coordinates"": [[-123.03587409810515, 49.234156038776085], [-123.03550388677687, 49.23452925361937], [-123.03523697197056, 49.23480745315736]], ""type"": ""LineString""}";49.23448045231944, -123.03555420898492
2020;GARDEN DR;2ND AV;1ST AV;101;GOOD;"{""coordinates"": [[-123.05803871452368, 49.26860200362688], [-123.05803864145435, 49.26860533548442], [-123.058030356915, 49.26906492041094], [-123.05802004739371, 49.2695092603607], [-123.0580200226524, 49.26951043424609]], ""type"": ""LineString""}";49.269056230885205, -123.0580299481256
2020;HUDSON ST;49TH AV;48TH AV;103;FAIR;"{""coordinates"": [[-123.13508340419962, 49.22679390166565], [-123.13506640542704, 49.22726664428574], [-123.13505077410952, 49.227720163287124]], ""type"": ""LineString""}";49.2272570264076, -123.13506691680568
2020;HEATHER ST;18TH AV;17TH AV;100;POOR;"{""coordinates"": [[-123.12014842064094, 49.25520231057425], [-123.12013123420171, 49.25565179077489], [-123.12011496479647, 49.256101564128045]], ""type"": ""LineString""}";49.25565192873223, -123.12013146105427
2020;DUNBAR ST;39TH AV;38TH AV;127;GOOD;"{""coordinates"": [[-123.18530750330778, 49.23644086608157], [-123.18530681687787, 49.236906597292645], [-123.18530678596858, 49.23690861677639], [-123.18530524841555, 49.23700876878363], [-123.18530331133027, 49.23732416701333], [-123.18530115364332, 49.237580601707464], [-123.18530113055031, 49.23758324185074]], ""type"": ""LineString""}";49.23701205759669, -123.18530514401175
2020;MAIN ST;BROADWAY;8TH AV;87;FAIR;"{""coordinates"": [[-123.10095939340778, 49.262917189526746], [-123.10092622496842, 49.26369810135249], [-123.10092616864586, 49.263699464175346]], ""type"": ""LineString""}";49.26330832681844, -123.1009427802486
2020;EARLES ST;41ST AV;40TH AV;140;VERY POOR;"{""coordinates"": [[-123.04877458341163, 49.23278569381041], [-123.0487745768748, 49.2327860302356], [-123.04875092796479, 49.23404278568671], [-123.0487511484805, 49.23404492646328]], ""type"": ""LineString""}";49.23341531559877, -123.04876273556324
2020;INVERNESS ST;60TH AV;59TH AV;98;GOOD;"{""coordinates"": [[-123.08010121012413, 49.2155311991749], [-123.08010115886091, 49.21553431517552], [-123.08009676533713, 49.21596972395091], [-123.08009155280753, 49.21640820155063], [-123.08009149967764, 49.21641271271983]], ""type"": ""LineString""}";49.21597195798931, -123.08009654278409
2020;KITCHENER ST;KASLO ST;RENFREW ST;198;VERY POOR;"{""coordinates"": [[-123.04689338019591, 49.27228810633381], [-123.04492420854672, 49.27228633319109], [-123.04417146904457, 49.27228605760581]], ""type"": ""LineString""}";49.27228693647654, -123.04553242471236
2020;MANITOBA ST;WOODSTOCK AV;40TH AV;100;FAIR;"{""coordinates"": [[-123.1080908944205, 49.23378038468567], [-123.10807193454743, 49.2342307776198], [-123.10805253261005, 49.23467955268323]], ""type"": ""LineString""}";49.23422997412591, -123.10807184105528
2020;MACKENZIE ST;31ST AV;30TH AV;106;POOR;"{""coordinates"": [[-123.17021795246538, 49.2442075464158], [-123.17021791890518, 49.24421137304029], [-123.17021374063633, 49.24468579262546], [-123.17021053784934, 49.24516102480323]], ""type"": ""LineString""}";49.24468428369464, -123.17021399880647
2020;HIGHBURY ST;27TH AV;26TH AV;106;NO DATA;"{""coordinates"": [[-123.18810470172355, 49.24807720960813], [-123.18810018417865, 49.24855181724235], [-123.18809530038213, 49.24902696964516], [-123.18809526501238, 49.24903068023662]], ""type"": ""LineString""}";49.24855394580509, -123.18810007254554
2020;GRANVILLE ST;DUNSMUIR ST;PENDER ST;162;NO DATA;"{""coordinates"": [[-123.11641064070074, 49.2836246938039], [-123.11532753900167, 49.28434122816298], [-123.11484752551918, 49.28465859991277], [-123.1148442414483, 49.28466077101353]], ""type"": ""LineString""}";49.28414277726788, -123.11562747074278
2020;LABURNUM ST;64TH AV;63RD AV;129;POOR;"{""coordinates"": [[-123.1504107047419, 49.21316160357761], [-123.15041164675189, 49.21316253786082], [-123.15110661651207, 49.21385150183358], [-123.15111712588657, 49.21386179668296], [-123.1511273733915, 49.21387221780801], [-123.15113733288348, 49.21388274725239], [-123.1511470057629, 49.21389339400967], [-123.1511564029868, 49.21390414907025], [-123.15116549983969, 49.21391501246659], [-123.15117430727587, 49.21392597428958], [-123.15118282804687, 49.213937036334755], [-123.15119105937617, 49.213948188710994], [-123.15119898893336, 49.21395944042979], [-123.1512066043057, 49.21397077351686], [-123.15121393023587, 49.21398219693517], [-123.15122094198082, 49.213993701721876], [-123.15122765052504, 49.2140052878627], [-123.151234057214, 49.21401694636059], [-123.1512401359589, 49.21402867724975], [-123.15124591147507, 49.214040480497914], [-123.15125137272274, 49.21405233812898], [-123.15125651698301, 49.214064259141885], [-123.1512613318979, 49.21407624355279], [-123.15126584624704, 49.214088273333516], [-123.151270016119, 49.21410035753686], [-123.15127388542479, 49.21411248711009], [-123.15127742395909, 49.21412466299233], [-123.1512806330618, 49.21413687438749], [-123.15128351408107, 49.21414911319806], [-123.15128585786125, 49.214160333546346]], ""type"": ""LineString""}";49.213639023353174, -123.15088116522715
2020;MACKENZIE ST;39TH AV;38TH AV;106;POOR;"{""coordinates"": [[-123.17028484104003, 49.23661570234184], [-123.17028489001687, 49.23661916004442], [-123.17028069265388, 49.237094500501065], [-123.1702765054651, 49.23756882443995], [-123.17027650256841, 49.237569180656116]], ""type"": ""LineString""}";49.237092441389635, -123.17028071099062
2020;HORNBY ST;PENDER ST;HASTINGS ST;101;GOOD;"{""coordinates"": [[-123.11680646609405, 49.28592999386286], [-123.11632799347325, 49.28624611169132], [-123.11582952903363, 49.28657573132127]], ""type"": ""LineString""}";49.28625281255765, -123.11631796449232
2020;GLADSTONE ST;30TH AV / 31ST AV;KINGSWAY;109;VERY GOOD;"{""coordinates"": [[-123.06269512690464, 49.24277978124119], [-123.06269145862979, 49.24278303321101], [-123.06262520317655, 49.24284178015829], [-123.06221683638503, 49.24320382070669], [-123.06180954784094, 49.24356492370656], [-123.06180552128838, 49.24356851855794]], ""type"": ""LineString""}";49.24317414210668, -123.062250317166
2020;MARPOLE AV;FIR ST;GRANVILLE ST;145;VERY GOOD;"{""coordinates"": [[-123.14043020139529, 49.25588282636303], [-123.14037726071209, 49.255896692963795], [-123.14031918905714, 49.25591267605058], [-123.14026155898351, 49.25592931522303], [-123.14020437186362, 49.25594661048019], [-123.14014766617707, 49.25596456267554], [-123.14009144461463, 49.25598315201704], [-123.14003571819661, 49.256002388386804], [-123.13998051573228, 49.25602225465966], [-123.13992585233181, 49.25604274901906], [-123.13987175270739, 49.2560638633401], [-123.13981821823197, 49.256085597621954], [-123.13976526397273, 49.25610793475623], [-123.13971292840252, 49.25613087289816], [-123.13966120052876, 49.256154412961365], [-123.13961011877879, 49.25617853690981], [-123.13955967076059, 49.25620323666359], [-123.13950989907018, 49.256228510373056], [-123.13946081467806, 49.256254349930146], [-123.13941242030683, 49.25628074633723], [-123.13936474066972, 49.25630769146964], [-123.13931777711024, 49.256335174532374], [-123.13927155848992, 49.256363196391035], [-123.1392260957267, 49.2563917300477], [-123.13918140398792, 49.256420793475385], [-123.13916615208935, 49.25643094136363], [-123.13884032018348, 49.25664813073927]], ""type"": ""LineString""}";49.256213684695346, -123.1396107868401
2020;GRAVELEY ST;KOOTENAY ST;BOUNDARY ROAD;236;VERY GOOD;"{""coordinates"": [[-123.02689123109967, 49.270320786648014], [-123.02364736613347, 49.270309255411185]], ""type"": ""LineString""}";49.2703150210296, -123.02526929861656
2020;MACKENZIE ST;13TH AV;12TH AV;101;VERY POOR;"{""coordinates"": [[-123.17024014763243, 49.26050227053087], [-123.17022381985826, 49.26095336319434], [-123.17020746706156, 49.26140565581831], [-123.17020729002058, 49.26141052608744]], ""type"": ""LineString""}";49.26095639815939, -123.1702237146854
2020;EUCLID AV;JOYCE ST;TYNE ST;273;GOOD;"{""coordinates"": [[-123.03362872586801, 49.23644998979709], [-123.0336238588806, 49.23644805543672], [-123.0330680471864, 49.236226157414556], [-123.03043053129433, 49.23517089598463], [-123.03042827379517, 49.23516999255681]], ""type"": ""LineString""}";49.235810167328054, -123.03202842943519
2020;FIR ST;13TH AV;12TH AV;104;VERY GOOD;"{""coordinates"": [[-123.14115996060767, 49.25987647081563], [-123.1411431166935, 49.260331978406306], [-123.14112526216189, 49.26081153499286], [-123.14112525573888, 49.26081169241693]], ""type"": ""LineString""}";49.26034408272238, -123.14114263796915
2020;LAKEWOOD ST;VANNESS AV;20TH AV;98;VERY POOR;"{""coordinates"": [[-123.06176536501953, 49.25099838684469], [-123.06150883367489, 49.251392319314796], [-123.06123718582597, 49.25180871127758], [-123.06123687037388, 49.251809195387786]], ""type"": ""LineString""}";49.25140384562803, -123.06150120133003
2020;CYPRESS ST;57TH AV;54TH AV;262;VERY POOR;"{""coordinates"": [[-123.14969317531711, 49.21947134626162], [-123.14967516843211, 49.2199371297408], [-123.14960149309302, 49.22182733845995]], ""type"": ""LineString""}";49.22064934466388, -123.14964739353516
2020;HUDSON ST;64TH AV;62ND AV;210;VERY GOOD;"{""coordinates"": [[-123.13420384153777, 49.21305481597208], [-123.13419298228102, 49.213474419105246], [-123.13415458768405, 49.21494355109836]], ""type"": ""LineString""}";49.2139991846141, -123.13417925609512
2020;FRANKLIN ST;KOOTENAY ST;BOUNDARY ROAD;155;POOR;"{""coordinates"": [[-123.02569774897555, 49.28205195225561], [-123.0256971233618, 49.28205195149523], [-123.02356654754283, 49.282050431221016]], ""type"": ""LineString""}";49.28205119158137, -123.02463214825931
2020;MANOR ST;SOUTHWEST END;QUEENS AV;100;VERY POOR;"{""coordinates"": [[-123.03965407629816, 49.24173313622471], [-123.0392928243596, 49.24211288388586], [-123.03929091353751, 49.24211489856945], [-123.0389285587778, 49.24249699589638]], ""type"": ""LineString""}";49.24211492476346, -123.03929116877474
2020;CYPRESS ST;17TH AV;16TH AV;104;FAIR;"{""coordinates"": [[-123.14840348262463, 49.25626702420598], [-123.14838595553643, 49.2567259873023], [-123.1483684263633, 49.2572022409703]], ""type"": ""LineString""}";49.256734626540386, -123.1483857932092
2020;GLEN DR;11TH AV;10TH AV;101;POOR;"{""coordinates"": [[-123.08140574107722, 49.26055518389245], [-123.0814056641097, 49.2605585247676], [-123.08139687102215, 49.26101073183591], [-123.08138704625495, 49.261462499728964], [-123.08138702334261, 49.26146361065334]], ""type"": ""LineString""}";49.2610094025155, -123.08139663695893
2020;DUNDAS ST;CASSIAR ST;SKEENA ST;186;GOOD;"{""coordinates"": [[-123.03087081123346, 49.28477025691342], [-123.02831583797156, 49.284768317933356], [-123.02831321712573, 49.28476831677651]], ""type"": ""LineString""}";49.28476928642932, -123.02959201417984
2020;CROWN ST;37TH AV;36TH AV;105;FAIR;"{""coordinates"": [[-123.19371373359427, 49.23860909396706], [-123.19371193739039, 49.23908171640812], [-123.19370922879531, 49.239553592835016]], ""type"": ""LineString""}";49.23908134449334, -123.19371171017691
2020;MAIN ST;27TH AV;26TH AV;86;VERY POOR;"{""coordinates"": [[-123.10117216937121, 49.24722222333161], [-123.10117199986334, 49.247225338528686], [-123.10114116082923, 49.24758145704663], [-123.1011409433633, 49.247583966006886], [-123.10110514963944, 49.24799079494321], [-123.10110485915341, 49.24799455520366]], ""type"": ""LineString""}";49.247608402651586, -123.10113867607487
2020;FRANKLIN ST;SKEENA ST;KOOTENAY ST;191;POOR;"{""coordinates"": [[-123.02832395266884, 49.28205403242387], [-123.02832126459154, 49.28205402858517], [-123.02569774897555, 49.28205195225561]], ""type"": ""LineString""}";49.28205299148497, -123.02701085082313
2020;EARLES ST;44TH AV;43RD AV;90;GOOD;"{""coordinates"": [[-123.04881244688767, 49.2303571147677], [-123.04881043374489, 49.230699171020454], [-123.0488098127875, 49.23076597904648], [-123.04880569715539, 49.231165674159115], [-123.04880568028712, 49.23116667713716]], ""type"": ""LineString""}";49.23076189954556, -123.04880950495343
2020;LARCH ST;13TH AV;12TH AV;104;VERY GOOD;"{""coordinates"": [[-123.16254470019365, 49.260216368006375], [-123.16252729922202, 49.26067378472376], [-123.16250965975777, 49.26115158578941]], ""type"": ""LineString""}";49.2606839719831, -123.16252704884447
2020;DUMFRIES ST;55TH AV;54TH AV;94;GOOD;"{""coordinates"": [[-123.07474726864972, 49.21956200744216], [-123.07474235218038, 49.21998436659643], [-123.07472440687172, 49.22040723338594], [-123.07472440024411, 49.22040739170702]], ""type"": ""LineString""}";49.21998478748249, -123.07473908640918
2020;KITCHENER ST;SEMLIN DRIVE;LAKEWOOD DRIVE;138;GOOD;"{""coordinates"": [[-123.06377281977663, 49.272092273630044], [-123.06377186572554, 49.27209226516142], [-123.06193811207066, 49.27207765063674], [-123.06190303256669, 49.27208425931277], [-123.06188163747355, 49.272093609580565]], ""type"": ""LineString""}";49.2720849351585, -123.06282596949357
2020;HUDSON ST;62ND AV;PARK DRIVE;76;GOOD;"{""coordinates"": [[-123.13415458768405, 49.21494355109836], [-123.13415448556651, 49.214947422786956], [-123.13413730517776, 49.21562689873618], [-123.134137300211, 49.215627093040055]], ""type"": ""LineString""}";49.2152853220157, -123.13414594187635
2020;EUCLID AV;RAVINE ST;TODD ST;81;FAIR;"{""coordinates"": [[-123.04741170357813, 49.242002836185236], [-123.04741066866072, 49.2420024192309], [-123.0464694258476, 49.24162298402932], [-123.04646408092091, 49.24162083361852]], ""type"": ""LineString""}";49.241811833191015, -123.04693789293849
2020;FRASER ST;49TH AV;48TH AV;116;VERY POOR;"{""coordinates"": [[-123.09077375391627, 49.225475569872614], [-123.09074089719017, 49.22651466564299], [-123.09074072895672, 49.226518797299626]], ""type"": ""LineString""}";49.22599718426242, -123.09075726013486
2020;DAVIE ST;BEACH AV;DENMAN ST;61;NO DATA;"{""coordinates"": [[-123.14241032169889, 49.2876423355593], [-123.14181398284087, 49.28725645112319]], ""type"": ""LineString""}";49.287449393341255, -123.14211215226987
