Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2020;52ND AV;CHURCHILL ST;GRANVILLE ST;134;VERY GOOD;"{""coordinates"": [[-123.14180368558124, 49.224102446061856], [-123.14179949116497, 49.224102391841896], [-123.14093565335534, 49.224091308981194], [-123.13996371821851, 49.22407921998057]], ""type"": ""LineString""}";49.22409074302608, -123.14088370303692
2020;67TH AV;SHERBROOKE ST;CROMPTON ST;99;VERY GOOD;"{""coordinates"": [[-123.08211372401257, 49.209522119461994], [-123.08075460504956, 49.209510909728216]], ""type"": ""LineString""}";49.20951651459511, -123.08143416453107
2020;BAYSWATER ST;2ND AV;POINT GREY ROAD;99;GOOD;"{""coordinates"": [[-123.1710025992804, 49.27018462691744], [-123.17100251255418, 49.27018697749139], [-123.17098654351148, 49.270633719795185], [-123.17097102926064, 49.27107490865338]], ""type"": ""LineString""}";49.270629765447595, -123.17098674836608
2020;COMMERCIAL ST;55TH AV;53RD AV;166;FAIR;"{""coordinates"": [[-123.0691811444716, 49.22034417698979], [-123.06911608663764, 49.221836394699935], [-123.0691160734503, 49.22183678600205]], ""type"": ""LineString""}";49.221090481421236, -123.06914860702837
2020;BRIGADOON AV;DUFF ST;HUMM ST;95;FAIR;"{""coordinates"": [[-123.06468399247524, 49.21660257594546], [-123.06467982622725, 49.216602509914274], [-123.0633865165785, 49.216581605800435], [-123.06337989233415, 49.216581502391456]], ""type"": ""LineString""}";49.216592038000236, -123.06403194242317
2020;10TH AV;HEATHER ST;ASH ST;173;GOOD;"{""coordinates"": [[-123.11990773660398, 49.26233198926744], [-123.11990588930263, 49.262331959701314], [-123.1175372010795, 49.262293931369626], [-123.11753069430293, 49.26229382824715]], ""type"": ""LineString""}";49.262312908134426, -123.11871921546336
2020;12TH AV;ARBUTUS ST;MAPLE ST;174;GOOD;"{""coordinates"": [[-123.15302654497698, 49.26100327507362], [-123.15201624475883, 49.26098726508782], [-123.15063580747974, 49.26096553083211]], ""type"": ""LineString""}";49.26098437312474, -123.1518311766995
2020;44TH AV;MACKENZIE ST;MACDONALD ST;211;NO DATA;"{""coordinates"": [[-123.17031569167486, 49.23189543974197], [-123.16809700844885, 49.231890291526405], [-123.16741746159711, 49.23188871200314]], ""type"": ""LineString""}";49.23189207690906, -123.16886657663359
2020;BUTE ST;COMOX ST;NELSON ST;110;GOOD;"{""coordinates"": [[-123.13123022966514, 49.28319211059474], [-123.13070120537311, 49.283542195267444], [-123.13017129507571, 49.28389284788737], [-123.13016687107245, 49.28389577540346]], ""type"": ""LineString""}";49.28354394618256, -123.13069855247541
2020;CARNARVON ST;31ST AV;30TH AV;106;VERY GOOD;"{""coordinates"": [[-123.17297876686271, 49.24422373804903], [-123.17297398256237, 49.24469723663843], [-123.17296918881158, 49.24517277262429], [-123.17296914524084, 49.24517721273928]], ""type"": ""LineString""}";49.244700475360105, -123.17297395266961
2020;COMMERCIAL DR;4TH AV;3RD AV;101;GOOD;"{""coordinates"": [[-123.06967344927419, 49.26688507190878], [-123.06966910830587, 49.26709194522249], [-123.0696690645523, 49.26709406271878], [-123.06966415925581, 49.26733850031556], [-123.06965535781247, 49.26779247260069], [-123.0696553372818, 49.26779351155846]], ""type"": ""LineString""}";49.26733928870629, -123.06966424279302
2020;54TH AV;BUTLER ST;CHAMPLAIN CRESCENT / TYNE ST;103;VERY POOR;"{""coordinates"": [[-123.03381625645555, 49.22011291075797], [-123.03309031362522, 49.22010637274049], [-123.03240193649238, 49.22010001212852]], ""type"": ""LineString""}";49.220106502738446, -123.03310909609722
