road_name,from_street,to_street,pci_rating,dist_to_water_m,humidity_proxy,pavement_risk,pci_missing,pavement_risk_adj,bearing_deg,sun_exposure,is_bridge,recent_moisture,temp_near_zero,black_ice_risk
CORDOVA ST,THURLOW ST,BURRARD ST,NO DATA,133.2,0.766,0.5,1,0.4,110.73105861243613,0.5,0,1,1.0,0.493
HAIG ST,67TH AV,64TH AV,VERY GOOD,926.6,0.157,0.1,0,0.1,1.7302293161068292,0.8,0,1,1.0,0.423
DUNBAR ST,24TH AV,23RD AV,GOOD,2113.1,0.015,0.3,0,0.3,0.542387489126213,0.8,0,1,1.0,0.437
EUCLID AV,MELBOURNE ST,ABERDEEN ST,GOOD,1041.4,0.125,0.3,0,0.3,95.70724608413082,0.5,0,1,1.0,0.378
HEATHER ST,70TH AV,69TH AV,VERY GOOD,623.2,0.288,0.1,0,0.1,1.3978478004606245,0.8,0,1,1.0,0.443
DAVIE ST,BURRARD ST,HORNBY ST,GOOD,294.4,0.555,0.3,0,0.3,134.77447173928056,0.5,0,1,1.0,0.443
GARDEN DR,12TH AV,11TH AV,GOOD,229.9,0.631,0.3,0,0.3,0.7069165656122323,0.8,0,1,1.0,0.53
LAURIER AV,OSLER ST,23RD AV / OAK ST,VERY POOR,1062.9,0.119,0.95,0,0.95,85.14997024834781,0.5,0,1,1.0,0.492
LANARK ST,51ST AV,49TH AV,VERY POOR,1613.1,0.04,0.95,0,0.95,1.4588097915854519,0.8,0,1,1.0,0.555
DIEPPE PL,DIEPPE DRIVE,DIEPPE DRIVE,VERY POOR,513.1,0.358,0.95,0,0.95,316.610082837465,0.8,0,1,1.0,0.603
FREMLIN ST,48TH AV,47TH AV,GOOD,1190.3,0.092,0.3,0,0.3,0.024465215969314613,0.8,0,1,1.0,0.448
MACDONALD ST,12TH AV,11TH AV / KITSILANO DIVERSION,VERY GOOD,2016.4,0.018,0.1,0,0.1,2.512988103925295,0.8,0,1,1.0,0.402
MACKENZIE ST,24TH AV,23RD AV,GOOD,2638.2,0.005,0.3,0,0.3,0.5344030813183736,0.8,0,1,1.0,0.435
LAUREL ST,BROADWAY,8TH AV,VERY POOR,258.5,0.596,0.95,0,0.95,1.4718717757401691,0.8,0,1,1.0,0.639
HEATHER ST,63RD AV,62ND AV,POOR,670.5,0.262,0.8,0,0.8,1.4006219480855293,0.8,0,1,1.0,0.562
LANARK ST,32ND AV,31ST AV,VERY GOOD,1563.7,0.044,0.1,0,0.1,1.2215525171224613,0.8,0,1,1.0,0.406
EDDINGTON DR,HAGGART ST,BRAKENRIDGE ST,VERY GOOD,1752.8,0.03,0.1,0,0.1,64.50428948532345,0.5,0,1,1.0,0.329
