road_name,from_street,to_street,pci_rating,dist_to_water_m,humidity_proxy,pavement_risk,pci_missing,pavement_risk_adj,bearing_deg,sun_exposure,is_bridge,recent_moisture,temp_near_zero,black_ice_risk
POWELL ST,MAIN ST,GORE AV,POOR,452.3,0.405,0.8,0,0.8,91.66767898427145,0.5,0,1,1.0,0.509
ST GEORGE ST,63RD AV,62ND AV,VERY POOR,842.9,0.185,0.95,0,0.95,1.311478615507383,0.8,0,1,1.0,0.577
ROSS ST,SE MARINE DRIVE,63RD AV,GOOD,368.0,0.479,0.3,0,0.3,1.879459250930779,0.8,0,1,1.0,0.507
NANTON AV,YEW ST,ARBUTUS ST,GOOD,1438.3,0.056,0.3,0,0.3,91.49606571298887,0.5,0,1,1.0,0.368
TURNER ST,RENFREW ST,NOOTKA ST,FAIR,259.0,0.596,0.5,0,0.5,90.12201012061803,0.5,0,1,1.0,0.485
MCKINNON ST,45TH AV,43RD AV,POOR,1117.2,0.107,0.8,0,0.8,359.81961428597424,0.8,0,1,1.0,0.539
RAILWAY ST,JACKSON AV,ALEXANDER ST,NO DATA,893.7,0.167,0.5,1,0.4,124.23071053097169,0.5,0,1,1.0,0.402
OSLER ST,PARK DRIVE,59TH AV,GOOD,1217.3,0.088,0.3,0,0.3,1.2042767670617422,0.8,0,1,1.0,0.448
TOLMIE ST,4TH AV,3RD AV,VERY POOR,984.8,0.139,0.95,0,0.95,1.5021477023230432,0.8,0,1,1.0,0.57
NAPIER ST,COMMERCIAL DRIVE,SALSBURY DRIVE,POOR,1315.4,0.072,0.8,0,0.8,90.61946086565149,0.5,0,1,1.0,0.459
MONTCALM ST,SW MARINE DRIVE,73RD AV,GOOD,348.8,0.498,0.3,0,0.3,28.779701887352473,0.8,0,1,1.0,0.51
ST GEORGE ST,SOUTH END,TERMINAL AV,GOOD,509.7,0.361,0.3,0,0.3,14.520725402647884,0.8,1,1,1.0,0.789
QUEBEC ST,30TH AV,29TH AV,GOOD,464.8,0.395,0.3,0,0.3,1.7567085566635114,0.8,0,1,1.0,0.494
SMITHE ST_1,CAMBIE BRIDGE TO PACIFIC EB RAMP,COOPERAGE WAY,VERY GOOD,338.1,0.509,0.1,0,0.1,134.93640305982586,0.5,0,1,1.0,0.401
TOLMIE ST,15TH AV,14TH AV,POOR,1571.2,0.043,0.8,0,0.8,1.593786017860225,0.8,0,1,1.0,0.529
SLOCAN ST,TRIUMPH ST,DUNDAS ST,GOOD,588.3,0.308,0.3,0,0.3,0.11175521336650718,0.8,0,1,1.0,0.481
MCLEAN DR,HASTINGS ST,FRANKLIN ST,FAIR,1172.5,0.096,0.5,0,0.5,1.226273321970325,0.8,0,1,1.0,0.484
TRINITY ST,PENTICTON ST,SLOCAN ST,VERY GOOD,730.4,0.232,0.1,0,0.1,89.92650514587882,0.5,0,1,1.0,0.359
SCOTIA ST,7TH AV,6TH AV,VERY GOOD,530.4,0.346,0.1,0,0.1,1.6486406749612001,0.8,0,1,1.0,0.451
SKEENA ST,5TH AV,4TH AV,VERY GOOD,394.0,0.455,0.1,0,0.1,0.25504723965963194,0.8,0,1,1.0,0.468
PINE ST,15TH AV,14TH AV,GOOD,1009.9,0.133,0.3,0,0.3,1.5374391154871887,0.8,0,1,1.0,0.455
SWITCHMEN ST,QUEBEC ST,MAIN ST,VERY GOOD,77.4,0.857,0.1,0,0.1,105.73132711593962,0.5,0,1,1.0,0.453
MCLEAN DR,1ST AV,GRAVELEY ST,VERY GOOD,1037.1,0.126,0.1,0,0.1,0.6275533568316973,0.8,0,1,1.0,0.418
SLOCAN ST,23RD AV,22ND AV,VERY POOR,953.4,0.149,0.95,0,0.95,0.1143169360484535,0.8,0,1,1.0,0.572
RENFREW ST,MCGILL ST,TRINITY ST,VERY GOOD,334.6,0.512,0.1,0,0.1,0.12987067852895962,0.8,0,1,1.0,0.476
PRINCE ALBERT ST,14TH AV,13TH AV,POOR,1623.7,0.039,0.8,0,0.8,0.8503603357934821,0.8,0,1,1.0,0.529
SPRUCE ST,14TH AV,13TH AV,POOR,479.1,0.384,0.8,0,0.8,1.499936003736309,0.8,0,1,1.0,0.581
PRINCE EDWARD ST,23RD AV,22ND AV,GOOD,1297.3,0.075,0.3,0,0.3,1.4334021183453842,0.8,0,1,1.0,0.446
ST CATHERINES ST,24TH AV,23RD AV,POOR,1758.6,0.03,0.8,0,0.8,1.4938071494897827,0.8,0,1,1.0,0.527
PENTICTON ST,28TH AV,27TH AV,VERY POOR,875.1,0.174,0.95,0,0.95,0.08121030805534701,0.8,0,1,1.0,0.575
SKEENA ST,OXFORD ST,CAMBRIDGE ST,FAIR,593.3,0.305,0.5,0,0.5,0.09621780199171326,0.8,0,1,1.0,0.516
NW MARINE DR,NW MARINE DR BUS LOOP,TOLMIE ST,VERY GOOD,492.9,0.373,0.1,0,0.1,115.06885034433378,0.5,0,1,1.0,0.38
ROBSON ST,HORNBY ST,HOWE ST,NO DATA,56.4,0.893,0.5,1,0.4,134.75101801852145,0.5,0,1,1.0,0.512
TURNER ST,WEST END,TEMPLETON DRIVE,POOR,1314.9,0.072,0.8,0,0.8,90.54727451168816,0.5,0,1,1.0,0.459
QUEBEC ST,47TH AV,46TH AV,VERY POOR,294.0,0.555,0.95,0,0.95,359.99186400738023,0.8,0,1,1.0,0.633
MONTGOMERY ST,48TH AV,47TH AV,FAIR,1133.7,0.104,0.5,0,0.5,357.4864372481108,0.8,0,1,1.0,0.485
POINT GREY RD,COLLINGWOOD ST,WATERLOO ST,VERY GOOD,860.4,0.179,0.1,0,0.1,99.0221392692115,0.5,0,1,1.0,0.351
SEMLIN DR,1ST AV,GRAVELEY ST,GOOD,1069.9,0.118,0.3,0,0.3,2.2971608101990455,0.8,0,1,1.0,0.452
NOOTKA ST,BOYD DIVERSION,22ND AV,VERY GOOD,854.6,0.181,0.1,0,0.1,6.212517266467557,0.8,0,1,1.0,0.427
SELKIRK ST,CONNAUGHT DRIVE,29TH AV,GOOD,384.1,0.464,0.3,0,0.3,17.582270037567355,0.8,0,1,1.0,0.504
PACIFIC BLVD,ABBOTT ST,CARRALL ST,FAIR,194.6,0.678,0.5,0,0.5,91.7119142235207,0.5,0,1,1.0,0.497
PRINCESS AV,ATLANTIC ST,PRIOR ST,VERY GOOD,200.0,0.67,0.1,0,0.1,1.4198888199898079,0.8,0,1,1.0,0.5
PENTICTON ST,2ND AV,1ST AV,VERY GOOD,799.5,0.202,0.1,0,0.1,0.6345403185622445,0.8,0,1,1.0,0.43
NANAIMO ST,GALT ST,BROCK ST,GOOD,734.5,0.23,0.3,0,0.3,21.5081057235883,0.8,0,1,1.0,0.469
NANAIMO ST,4TH AV,3RD AV,POOR,568.7,0.321,0.8,0,0.8,0.1420629283298922,0.8,0,1,1.0,0.571
SELKIRK ST,51ST AV,50TH AV,POOR,1410.9,0.06,0.8,0,0.8,1.4464609318415569,0.8,0,1,1.0,0.532
PARK DR,FRENCH ST,CARTIER ST,FAIR,1373.3,0.064,0.5,0,0.5,113.74793562310128,0.5,0,1,1.0,0.404
PUGET DR,33RD AV / LARCH ST,31ST AV / NARVAEZ DRIVE,NO DATA,1896.3,0.023,0.5,1,0.4,354.4818231735234,0.8,0,1,1.0,0.456
NANAIMO ST,WAVERLEY AV,47TH AV,VERY GOOD,1265.1,0.08,0.1,0,0.1,1.056450172363384,0.8,0,1,1.0,0.411
ROSS ST,52ND AV,51ST AV,VERY POOR,1608.3,0.04,0.95,0,0.95,1.428763099397429,0.8,0,1,1.0,0.555
TOLMIE ST,1ST AV,LANGARA AV,VERY POOR,839.5,0.187,0.95,0,0.95,1.5315764523604685,0.8,0,1,1.0,0.577
PENDER ST,SLOCAN ST,KASLO ST,FAIR,363.6,0.483,0.5,0,0.5,90.11534183126821,0.5,0,1,1.0,0.468
NOOTKA ST,BROADWAY,8TH AV,GOOD,389.4,0.459,0.3,0,0.3,0.31588024987610197,0.8,0,1,1.0,0.504
ROSS ST,59TH AV,58TH AV,VERY GOOD,954.7,0.148,0.1,0,0.1,0.8890110713923605,0.8,0,1,1.0,0.422
ONTARIO ST NB TO E 18TH AV,ONTARIO ST,18TH AV,FAIR,1225.7,0.086,0.5,0,0.5,1.965626038474511,0.8,0,1,1.0,0.483
RENFREW ST,GRANT ST,KITCHENER ST,FAIR,978.6,0.141,0.5,0,0.5,0.6369452426079647,0.8,0,1,1.0,0.491
PENDER ST,CARRALL ST,COLUMBIA ST,FAIR,75.9,0.859,0.5,0,0.5,92.80318733642508,0.5,0,1,1.0,0.524
PENTICTON ST,16TH AV,GRANDVIEW HWY,FAIR,468.8,0.392,0.5,0,0.5,0.16566603422592152,0.8,0,1,1.0,0.529
PENTICTON ST,20TH AV,19TH AV,VERY GOOD,681.6,0.256,0.1,0,0.1,0.6763546697597462,0.8,0,1,1.0,0.438
THURLOW ST,COMOX ST,PENDRELL ST,POOR,75.9,0.859,0.8,0,0.8,224.77300895159956,0.2,0,1,1.0,0.502
TRIMBLE ST,12TH AV,11TH AV,VERY POOR,1068.9,0.118,0.95,0,0.95,1.529917770470945,0.8,0,1,1.0,0.567
SKEENA ST,23RD AV,22ND AV,GOOD,595.5,0.304,0.3,0,0.3,0.216426690191156,0.8,0,1,1.0,0.48
SOPHIA ST,19TH AV,18TH AV,FAIR,1450.8,0.055,0.5,0,0.5,1.4808804458342024,0.8,0,1,1.0,0.478
SHERBROOKE ST,43RD AV,41ST AV,GOOD,1910.9,0.022,0.3,0,0.3,1.433144697335365,0.8,0,1,1.0,0.438
MCKINNON ST,SCHOOL AV,IVANHOE ST,VERY GOOD,939.4,0.153,0.1,0,0.1,32.07133694644028,0.8,0,1,1.0,0.422
OSLER ST,51ST AV,50TH AV,GOOD,1419.8,0.058,0.3,0,0.3,1.390265641158976,0.8,0,1,1.0,0.443
STANLEY PARK DR,TEAHOUSE LANE,N LAGOON DRIVE,VERY GOOD,295.3,0.554,0.1,0,0.1,128.84630020213217,0.5,0,1,1.0,0.408
PARKER ST,VERNON DRIVE,CLARK DRIVE,VERY POOR,654.7,0.27,0.95,0,0.95,91.27670238022944,0.5,0,1,1.0,0.515
MCLEAN DR,WILLIAM ST,NAPIER ST,FAIR,958.0,0.147,0.5,0,0.5,0.49143055883115494,0.8,0,1,1.0,0.492
SIMPSON AV,BLANCA ST,TOLMIE ST,GOOD,580.3,0.313,0.3,0,0.3,91.53226980851684,0.5,0,1,1.0,0.407
SHERBROOKE ST,53RD AV,51ST AV,POOR,1503.0,0.049,0.8,0,0.8,1.5209325407395227,0.8,0,1,1.0,0.53
PRINCE EDWARD ST,28TH AV,26TH AV,GOOD,951.0,0.149,0.3,0,0.3,1.0988074188699102,0.8,0,1,1.0,0.457
MONTGOMERY ST,49TH AV,48TH AV,FAIR,1232.0,0.085,0.5,0,0.5,357.90539356829265,0.8,0,1,1.0,0.483
POWELL ST,VICTORIA DRIVE,SEMLIN DRIVE / WALL ST,POOR,1607.2,0.04,0.8,0,0.8,90.49561347696056,0.5,0,1,1.0,0.454
TISDALL ST,51ST AV,50TH AV,FAIR,744.1,0.226,0.5,0,0.5,1.2980616196580854,0.8,0,1,1.0,0.504
MCBAIN AV,BRAKENRIDGE ST,VALLEY DRIVE,POOR,1847.3,0.025,0.8,0,0.8,59.38109230453756,0.5,0,1,1.0,0.452
THURLOW ST,BURNABY ST,HARWOOD ST,VERY GOOD,294.6,0.555,0.1,0,0.1,224.78070731410918,0.2,0,1,1.0,0.333
SKEENA ST,11TH AV,CORNETT ROAD,FAIR,23.0,0.955,0.5,0,0.5,0.4148615780167688,0.8,0,1,1.0,0.614
ONTARIO ST,20TH AV,19TH AV,GOOD,1078.9,0.116,0.3,0,0.3,1.8055198772931362,0.8,0,1,1.0,0.452
RUPERT ST,20TH AV / ANZIO DRIVE,19TH AV / SEAFORTH DRIVE,GOOD,730.3,0.232,0.3,0,0.3,0.0961707749960965,0.8,0,1,1.0,0.47
QUESNEL DR,22ND AV / VALDEZ ROAD,21ST AV,VERY GOOD,2208.9,0.012,0.1,0,0.1,323.4819691462397,0.8,0,1,1.0,0.401
PACIFIC ST,BEACH AV / JERVIS ST,BUTE ST,VERY GOOD,521.2,0.353,0.1,0,0.1,134.7989382796477,0.5,0,1,1.0,0.377
PRINCE EDWARD ST,32ND AV,30TH AV,GOOD,718.7,0.238,0.3,0,0.3,358.0169914326981,0.8,0,1,1.0,0.47
SALSBURY DR,GEORGIA ST,FRANCES ST,VERY POOR,1439.7,0.056,0.95,0,0.95,0.9489488773392054,0.8,0,1,1.0,0.558
NOOTKA ST,1ST AV,GRAVELEY ST,GOOD,794.5,0.204,0.3,0,0.3,0.6564928703726878,0.8,0,1,1.0,0.465
ROSS ST,37TH AV,35TH AV,POOR,1696.4,0.034,0.8,0,0.8,1.0553156031612616,0.8,0,1,1.0,0.528
ST GEORGE ST,51ST AV,50TH AV,VERY GOOD,887.6,0.169,0.1,0,0.1,1.0979509825364175,0.8,0,1,1.0,0.425
PENTICTON ST,PARKER ST,VENABLES ST,VERY POOR,898.3,0.166,0.95,0,0.95,0.1647527108504505,0.8,0,1,1.0,0.574
MOSCROP ST,NORTHWEST END,CARIBOO ST,VERY GOOD,45.4,0.913,0.1,0,0.1,121.94546738528908,0.5,0,1,1.0,0.462
ST CATHERINES ST,35TH AV,33RD AV,FAIR,1370.3,0.065,0.5,0,0.5,1.1985944276702298,0.8,0,1,1.0,0.48
ONTARIO ST,3RD AV,2ND AV,FAIR,193.2,0.68,0.5,0,0.5,1.6301915455681524,0.8,0,1,1.0,0.572
NOOTKA ST,4TH AV,3RD AV,GOOD,842.0,0.186,0.3,0,0.3,0.6768430950843936,0.8,0,1,1.0,0.463
RUPERT ST,43RD AV,42ND AV,VERY POOR,823.9,0.192,0.95,0,0.95,0.7922524199590839,0.8,0,1,1.0,0.578
ONTARIO ST,KENT AV SOUTH,KENT AV NORTH,VERY POOR,153.2,0.736,0.95,0,0.95,2.0334488592471303,0.8,0,1,1.0,0.66
ROXBURGH CRES,MARGUERITE ST,CONNAUGHT DRIVE,VERY POOR,451.6,0.405,0.95,0,0.95,49.11974711259512,0.5,0,1,1.0,0.535
SALISH DR,STAULO CRESCENT,MUSQUEAM DRIVE,VERY POOR,519.8,0.354,0.95,0,0.95,6.825249488384145,0.8,0,1,1.0,0.603
NICOLA ST,BARCLAY ST,HARO ST,FAIR,370.4,0.477,0.5,0,0.5,44.76457514007268,0.8,0,1,1.0,0.542
RENFREW ST,GRANDVIEW HWY,12TH AV / HEBB AV,POOR,247.7,0.609,0.8,0,0.8,0.000298934802799522,0.8,1,1,1.0,0.915
RUPERT ST,PRICE ST,28TH AV,GOOD,332.7,0.514,0.3,0,0.3,17.09840658753933,0.8,0,1,1.0,0.512
RENFREW ST,5TH AV,4TH AV,POOR,845.5,0.184,0.8,0,0.8,0.5361795942818617,0.8,0,1,1.0,0.551
SOUTHSIDE DR,DUFF ST,PORTSIDE DRIVE,GOOD,179.0,0.699,0.3,0,0.3,116.60687456807551,0.5,0,1,1.0,0.465
PINE CRES,35TH AV,34TH AV,NO DATA,738.1,0.229,0.5,1,0.4,1.5058879731557226,0.8,0,1,1.0,0.487
SEMLIN DR,FRANKLIN ST,PANDORA ST,GOOD,1563.0,0.044,0.3,0,0.3,0.24333579291248952,0.8,0,1,1.0,0.441
SALSBURY DR,HASTINGS ST,FRANKLIN ST,GOOD,1543.5,0.046,0.3,0,0.3,0.5509180114594301,0.8,0,1,1.0,0.441
RUPERT ST,WILLIAM ST,NAPIER ST,VERY GOOD,298.3,0.551,0.1,0,0.1,0.5177478706418128,0.8,0,1,1.0,0.482
PARKER ST,GEORGE ST,VERNON DRIVE,VERY POOR,555.2,0.329,0.95,0,0.95,91.3122542057589,0.5,0,1,1.0,0.524
NEWPORT AV,VICTORIA DRIVE,GLADSTONE ST,FAIR,881.3,0.172,0.5,0,0.5,90.66887742144644,0.5,0,1,1.0,0.421
NANAIMO ST,27TH AV,26TH AV,FAIR,885.8,0.17,0.5,0,0.5,0.1350816584445056,0.8,0,1,1.0,0.495
TOLMIE ST,13TH AV,12TH AV,VERY POOR,1420.8,0.058,0.95,0,0.95,1.4821316580127473,0.8,0,1,1.0,0.558
PENTICTON ST,GRANT ST,KITCHENER ST,GOOD,1109.6,0.109,0.3,0,0.3,0.6076183261843084,0.8,0,1,1.0,0.451
PRINCE EDWARD ST,KING EDWARD AV,23RD AV,VERY POOR,1200.4,0.091,0.95,0,0.95,1.3847288013865864,0.8,0,1,1.0,0.563
SASAMAT ST,6TH AV,5TH AV,VERY POOR,834.2,0.189,0.95,0,0.95,1.544281249651192,0.8,0,1,1.0,0.578
RADISSON ST,MEARES AV,NORTH END,GOOD,1065.2,0.119,0.3,0,0.3,0.8072014415536728,0.8,0,1,1.0,0.452
POWELL ST,COMMERCIAL DRIVE,SALSBURY DRIVE,FAIR,1561.7,0.044,0.5,0,0.5,74.8037634422671,0.5,0,1,1.0,0.401
VICTORIA DR,HASTINGS ST,FRANKLIN ST,VERY POOR,1708.2,0.033,0.95,0,0.95,0.8161668047682156,0.8,0,1,1.0,0.554
WINDERMERE ST,2ND AV,1ST AV,POOR,484.2,0.38,0.8,0,0.8,0.5063763276548343,0.8,0,1,1.0,0.58
WILTSHIRE ST,49TH AV,47TH AV,NO DATA,1246.1,0.083,0.5,1,0.4,1.474149204208004,0.8,0,1,1.0,0.465
WEST BLVD,38TH AV,37TH AV / ARBUTUS ST,VERY POOR,1331.5,0.07,0.95,0,0.95,1.4886451308887558,0.8,0,1,1.0,0.56
VERNON DR,GRANT ST,CHARLES ST,VERY GOOD,695.1,0.249,0.1,0,0.1,0.6358083477124978,0.8,0,1,1.0,0.437
WILLIAM ST,MCLEAN DRIVE,WOODLAND DRIVE,POOR,968.2,0.144,0.8,0,0.8,92.21993936557533,0.5,0,1,1.0,0.47
WINDERMERE ST,NAPIER ST,PARKER ST,VERY POOR,512.1,0.359,0.95,0,0.95,0.5575674815141269,0.8,0,1,1.0,0.603
WALES ST,45TH AV,44TH AV,VERY POOR,810.5,0.198,0.95,0,0.95,359.4224353073738,0.8,0,1,1.0,0.579
VINE ST,7TH AV,6TH AV,VERY GOOD,1366.1,0.065,0.1,0,0.1,1.4992787642059966,0.8,0,1,1.0,0.409
WOODLAND DR,5TH AV,4TH AV,VERY GOOD,1232.3,0.085,0.1,0,0.1,0.7453828481583287,0.8,0,1,1.0,0.412
WALES ST,54TH AV,53RD AV,VERY GOOD,776.2,0.212,0.1,0,0.1,7.709402217104525,0.8,0,1,1.0,0.431
UNION ST,RAYMUR AV,GLEN DRIVE,GOOD,420.1,0.432,0.3,0,0.3,91.55863993203513,0.5,0,1,1.0,0.425
VICTORIA DR,UPLAND DRIVE,NASSAU DRIVE,GOOD,1169.8,0.096,0.3,0,0.3,1.0944677320134701,0.8,0,1,1.0,0.449
VIVIAN DR,LYNBROOK DRIVE,57TH AV,FAIR,392.3,0.456,0.5,0,0.5,1.5869664419902847,0.8,0,1,1.0,0.539
VENABLES ST,VERNON DRIVE,CLARK DRIVE,GOOD,671.0,0.261,0.3,0,0.3,91.23536943303742,0.5,0,1,1.0,0.399
WILLOW ST,46TH AV,42ND AV,GOOD,793.3,0.205,0.3,0,0.3,355.10447712347036,0.8,0,1,1.0,0.465
VINE ST,47TH AV,45TH AV,NO DATA,708.1,0.243,0.5,1,0.4,1.4783958321791033,0.8,0,1,1.0,0.489
WESSEX ST,SCHOOL AV,KINGSWAY,VERY GOOD,1273.9,0.078,0.1,0,0.1,32.329262572914104,0.8,0,1,1.0,0.411
WAVERLEY AV,GLADSTONE ST,NANAIMO ST,GOOD,1312.5,0.072,0.3,0,0.3,91.03866218332189,0.5,0,1,1.0,0.37
WILLOW ST,27TH AV,26TH AV,VERY GOOD,644.9,0.275,0.1,0,0.1,1.4663254060600934,0.8,0,1,1.0,0.441
VANNESS AV,JOYCE ST,GASTON ST,POOR,687.1,0.253,0.8,0,0.8,126.1966811203423,0.5,0,1,1.0,0.486
YUKON ST,10TH AV,BROADWAY,VERY GOOD,363.4,0.483,0.1,0,0.1,1.475831003682572,0.8,0,1,1.0,0.472
WELWYN ST,20TH AV,18TH AV,GOOD,471.8,0.389,0.3,0,0.3,1.3282934871290308,0.8,0,1,1.0,0.493
VICTORIA DR,54TH AV / ARGYLE DRIVE,53RD AV,FAIR,1408.5,0.06,0.5,0,0.5,1.06736700270028,0.8,0,1,1.0,0.479
WOODLAND DR,GEORGIA ST,FRANCES ST,FAIR,1133.1,0.104,0.5,0,0.5,1.5411469857701263,0.8,0,1,1.0,0.485
VENABLES ST,SALSBURY DRIVE,VICTORIA DRIVE,GOOD,1462.6,0.054,0.3,0,0.3,90.23773778026953,0.5,0,1,1.0,0.368
VICTORIA DR,52ND AV,51ST AV,FAIR,1575.4,0.043,0.5,0,0.5,1.0973458015948836,0.8,0,1,1.0,0.476
YEW ST,49TH AV,48TH AV,NO DATA,629.3,0.284,0.5,1,0.4,1.8809758327240615,0.8,0,1,1.0,0.495
WEST BLVD,39TH AV,38TH AV,VERY POOR,1338.1,0.069,0.95,0,0.95,1.491143503565354,0.8,0,1,1.0,0.56
WINDERMERE ST,TURNER ST,PENDER ST,FAIR,259.9,0.595,0.5,0,0.5,0.10249551087349573,0.8,0,1,1.0,0.559
WEST BLVD,43RD AV,42ND AV,VERY POOR,1229.9,0.085,0.95,0,0.95,1.5011498450992917,0.8,0,1,1.0,0.562
VINE ST,15TH AV,14TH AV,VERY POOR,1820.5,0.026,0.95,0,0.95,1.502288860675833,0.8,0,1,1.0,0.553
VENABLES ST,ODLUM DRIVE,MCLEAN DRIVE,FAIR,868.8,0.176,0.5,0,0.5,91.42080900094686,0.5,0,1,1.0,0.421
VERNON DR,KEEFER ST,FRANCES ST,POOR,730.2,0.232,0.8,0,0.8,1.6137425155899905,0.8,0,1,1.0,0.558
VINE ST,19TH AV,18TH AV,GOOD,2065.8,0.016,0.3,0,0.3,1.5151033548081045,0.8,0,1,1.0,0.437
WINDSOR ST,10TH AV,BROADWAY,FAIR,1472.8,0.053,0.5,0,0.5,0.8291444659697618,0.8,0,1,1.0,0.478
YUKON ST,BROADWAY,8TH AV,GOOD,362.9,0.484,0.3,0,0.3,1.7324918940407201,0.8,0,1,1.0,0.507
VICTORIA DR,22ND AV,HULL ST,FAIR,355.8,0.491,0.5,0,0.5,354.3451800539381,0.8,0,1,1.0,0.544
WINDSOR ST,11TH AV,10TH AV,GOOD,1505.0,0.049,0.3,0,0.3,0.8413658253106746,0.8,0,1,1.0,0.442
WINDSOR ST,35TH AV,33RD AV,POOR,1532.4,0.047,0.8,0,0.8,1.1683552790673275,0.8,0,1,1.0,0.53
WELLINGTON AV,JOYCE ST,PAYNE ST,VERY GOOD,464.0,0.395,0.1,0,0.1,122.1715054674766,0.5,0,1,1.0,0.384
WHYTE AV,CHESTNUT ST,STOP SIGN,GOOD,169.8,0.712,0.3,0,0.3,76.19269746644756,0.5,0,1,1.0,0.467
WEST BLVD,49TH AV / ARBUTUS ST,48TH AV,VERY POOR,855.1,0.181,0.95,0,0.95,342.00707014691534,0.8,0,1,1.0,0.577
YUKON ST,20TH AV,19TH AV,GOOD,908.5,0.163,0.3,0,0.3,1.7331695868437578,0.8,0,1,1.0,0.459
VENABLES ST,KASLO ST,RENFREW ST,VERY POOR,554.5,0.33,0.95,0,0.95,90.10235093643445,0.5,0,1,1.0,0.524
YEW ST,5TH AV,4TH AV,VERY GOOD,1142.3,0.102,0.1,0,0.1,1.5370848749022912,0.8,0,1,1.0,0.415
VANNESS AV,CHATHAM ST,RUPERT ST,GOOD,725.8,0.234,0.3,0,0.3,121.97951750043671,0.5,0,1,1.0,0.395
YORK AV,VINE ST,YEW ST,FAIR,911.5,0.162,0.5,0,0.5,91.5258147268147,0.5,0,1,1.0,0.419
VENABLES ST,COTTON DRIVE,COMMERCIAL DRIVE,VERY POOR,1183.6,0.094,0.95,0,0.95,91.32215976195886,0.5,0,1,1.0,0.488
WEST BLVD,61ST AV / ANGUS DRIVE,60TH AV,VERY GOOD,772.8,0.213,0.1,0,0.1,339.30584691804233,0.8,0,1,1.0,0.431
WATERLOO ST,15TH AV,14TH AV,GOOD,1507.7,0.049,0.3,0,0.3,1.4827688274054367,0.8,0,1,1.0,0.442
WHYTE AV,CYPRESS ST,CHESTNUT ST,GOOD,181.6,0.695,0.3,0,0.3,91.5024719614587,0.5,0,1,1.0,0.464
VALLEY DR_1,ARBUTUS ST,30TH AV,VERY GOOD,1246.5,0.083,0.1,0,0.1,125.44667954579148,0.5,0,1,1.0,0.337
YUKON ST,13TH AV,12TH AV,VERY POOR,492.7,0.373,0.95,0,0.95,1.48208482007351,0.8,0,1,1.0,0.606
WELLINGTON AV,RUPERT ST,MCHARDY ST,GOOD,424.8,0.428,0.3,0,0.3,122.0407422087531,0.5,0,1,1.0,0.424
VICTORIA DR,40TH AV,39TH AV,VERY POOR,1113.5,0.108,0.95,0,0.95,1.0920155939737128,0.8,0,1,1.0,0.565
YEW ST,53RD AV,51ST AV,VERY POOR,423.6,0.429,0.95,0,0.95,1.4598866862503428,0.8,0,1,1.0,0.614
WATER ST,CARRALL ST,ABBOTT ST,NO DATA,418.4,0.433,0.5,1,0.4,285.71031297121624,0.5,0,1,1.0,0.442
YEW ST,32ND AV,VALLEY DRIVE,VERY POOR,1379.8,0.063,0.95,0,0.95,1.5172845488851863,0.8,0,1,1.0,0.559
WOODLAND DR,7TH AV,6TH AV,POOR,1081.5,0.115,0.8,0,0.8,0.7630284082163712,0.8,1,1,1.0,0.84
WINDSOR ST,38TH AV,37TH AV,GOOD,1554.0,0.045,0.3,0,0.3,2.608831528235555,0.8,0,1,1.0,0.441
WILTSHIRE ST,47TH AV,45TH AV,NO DATA,1076.1,0.116,0.5,1,0.4,1.4813848950170154,0.8,0,1,1.0,0.47
WAVERLEY AV,NANAIMO ST,CLARENDON ST,VERY GOOD,1249.3,0.082,0.1,0,0.1,96.65283400720057,0.5,0,1,1.0,0.337
WEST BLVD,53RD AV,51ST AV,VERY GOOD,798.0,0.203,0.1,0,0.1,338.91504167868425,0.8,0,1,1.0,0.43
WILLOW ST,10TH AV,BROADWAY,VERY POOR,275.0,0.577,0.95,0,0.95,1.4049666476577727,0.8,0,1,1.0,0.636
YUKON ST,48TH AV,46TH AV,GOOD,373.8,0.474,0.3,0,0.3,0.3806766940107309,0.8,0,1,1.0,0.506
VICTORIA DR,SCARBORO AV,61ST AV,GOOD,707.3,0.243,0.3,0,0.3,0.7347152058135293,0.8,0,1,1.0,0.471
VERNON DR,CHARLES ST,WILLIAM ST,GOOD,667.3,0.263,0.3,0,0.3,0.9202358759741287,0.8,0,1,1.0,0.474
WINDERMERE ST,VENABLES ST,ADANAC ST,POOR,506.7,0.363,0.8,0,0.8,1.9845239237404826,0.8,0,1,1.0,0.577
VANNESS AV,GASTON ST,MELBOURNE ST,FAIR,763.5,0.217,0.5,0,0.5,124.88363404924087,0.5,0,1,1.0,0.428
WATERLOO ST,2ND AV,POINT GREY ROAD,FAIR,981.9,0.14,0.5,0,0.5,1.4584477056800438,0.8,0,1,1.0,0.491
VICTORIA DR,10TH AV,BROADWAY,POOR,494.8,0.372,0.8,0,0.8,0.7624936557456863,0.8,0,1,1.0,0.579
WELLINGTON AV,REID ST,RUPERT ST,VERY POOR,522.4,0.352,0.95,0,0.95,122.23804836251492,0.5,0,1,1.0,0.527
WATERLOO ST,14TH AV,13TH AV,FAIR,1433.2,0.057,0.5,0,0.5,1.399015343728479,0.8,0,1,1.0,0.478
VENABLES ST,RENFREW ST,NOOTKA ST,POOR,555.3,0.329,0.8,0,0.8,89.92169585672423,0.5,0,1,1.0,0.497
